Date,School education - Number of pupils absent due to COVID-19 related reasons,School education - Percentage attendance,School education - Percentage absence due to COVID-19 related reasons,School education - Percentage absence for non COVID-19 related reasons
2020-08-17,6691,95.81529192,3.16860543,1.01571708
2020-08-18,7628,95.63812808,3.21039829,1.15108874
2020-08-19,8328,95.34322402,3.39171296,1.26480652
2020-08-20,9744,93.65107267,4.98753438,1.36003527
2020-08-21,11815,91.76490735,6.54543058,1.69070726
2020-08-24,19695,88.80534842,8.47233318,2.72096432
2020-08-25,23503,87.23108774,9.49833462,3.26929438
2020-08-26,25022,87.13838962,9.36838898,3.4919371
2020-08-27,24240,86.1998733,10.41521015,3.38384646
2020-08-28,24407,84.23070375,12.29550587,3.47676163
2020-08-31,17956,86.30544187,11.21043427,2.48319781
2020-09-01,17279,87.15015624,10.44491743,2.40364328
2020-09-02,15936,88.3077375,9.46502908,2.22580754
2020-09-03,15131,88.90556733,8.97426664,2.11916771
2020-09-04,14197,88.01827461,9.91812629,2.06637144
2020-09-07,11386,90.73565269,7.60528534,1.65771734
2020-09-08,12429,91.5208199,6.73707922,1.7409596
2020-09-09,12053,92.11224093,6.18814176,1.69833363
2020-09-10,11427,92.28075806,6.11930185,1.59872752
2020-09-11,11288,91.03915179,7.31900925,1.64288237
2020-09-14,9685,92.71791023,5.8668698,1.41372783
2020-09-15,10058,92.95384866,5.57266301,1.47207066
2020-09-16,10796,93.07500132,5.41917958,1.50453501
2020-09-17,10647,93.13787895,5.33633429,1.52462546
2020-09-18,9838,92.11663291,6.3078006,1.57643128
2020-09-21,9161,92.76056027,5.64755409,1.59188564
2020-09-22,11232,92.94682244,5.41015716,1.6416834
2020-09-23,11993,92.91960969,5.40350086,1.67560433
2020-09-24,10792,92.48655474,5.86782893,1.64407267
2020-09-25,5075,92.56601033,6.27944259,1.1534509
2020-09-28,5567,92.95606646,5.80365841,1.2383494
2020-09-29,11641,92.88278806,5.41482858,1.70111442
2020-09-30,13247,92.58476482,5.55055911,1.86353403
2020-10-01,12975,92.60407216,5.57307233,1.82185613
