Date,Vaccinations - Number of people who have received first dose,Vaccinations - Number of people who have received second dose
2021-01-11,163377,2758
2021-01-12,175942,2857
2021-01-13,191965,2990
2021-01-14,208207,3190
2021-01-15,224840,3331
2021-01-16,241924,3512
2021-01-17,260140,3657
2021-01-18,264991,3698
2021-01-19,284582,3886
2021-01-20,309909,4170
2021-01-21,334871,4466
2021-01-22,358454,4689
2021-01-23,380667,5188
2021-01-24,404038,5383
2021-01-25,415402,5538
2021-01-26,437900,6060
2021-01-27,462092,6596
2021-01-28,491658,6783
2021-01-29,515855,7095
2021-01-30,543370,7638
2021-01-31,566269,7794
2021-02-01,575897,7849
2021-02-02,610778,8345
2021-02-03,649262,8758
2021-02-04,694347,9031
2021-02-05,742512,9529
2021-02-06,786427,10332
2021-02-07,839266,10582
2021-02-08,866823,10690
2021-02-09,928122,12257
2021-02-10,985569,12866
2021-02-11,1048747,13195
2021-02-12,1113625,13566
2021-02-13,1173445,14009
2021-02-14,1223774,14281
2021-02-15,1255190,14501
2021-02-16,1288004,17137
2021-02-17,1320074,20409
2021-02-18,1354966,24169
2021-02-19,1386152,29015
2021-02-20,1412643,33473
2021-02-21,1431942,35479
2021-02-22,1445488,37342
2021-02-23,1465241,43203
2021-02-24,1488077,50121
2021-02-25,1515980,56661
2021-02-26,1542929,65340
2021-02-27,1570153,72178
2021-02-28,1593695,76512
2021-03-01,1611578,78865
2021-03-02,1634361,84445
2021-03-03,1661879,92550
2021-03-04,1688608,100058
2021-03-05,1717672,108197
2021-03-06,1743869,114081
2021-03-07,1759750,115930
2021-03-08,1774659,118732
2021-03-09,1789377,123686
2021-03-10,1809158,132760
2021-03-11,1825800,141433
2021-03-12,1844636,149409
2021-03-13,1867123,156250
2021-03-14,1888697,160038
2021-03-15,1908991,161945
2021-03-16,1943507,170892
2021-03-17,1981818,181879
